,accuracy,k,n_classes_,n_features_,n_informative_,n_samples_,scale_,sim_id,strategy
0,0.8235,45,8,17,13,1019,1.0347954002787332,20.0,ds_knora_eliminate
0,0.8137,50,8,17,13,1019,1.0347954002787332,20.0,ds_knora_eliminate
0,0.8235,60,8,17,13,1019,1.0347954002787332,20.0,ds_knora_eliminate
0,0.8137,70,8,17,13,1019,1.0347954002787332,20.0,ds_knora_eliminate
0,0.8137,80,8,17,13,1019,1.0347954002787332,20.0,ds_knora_eliminate
0,0.8039,90,8,17,13,1019,1.0347954002787332,20.0,ds_knora_eliminate
0,0.8039,100,8,17,13,1019,1.0347954002787332,20.0,ds_knora_eliminate
0,0.8039,200,8,17,13,1019,1.0347954002787332,20.0,ds_knora_eliminate
0,0.8039,300,8,17,13,1019,1.0347954002787332,20.0,ds_knora_eliminate
0,0.7474,3,4,41,5,1898,1.885808965720439,21.0,ds_knora_eliminate
0,0.7474,5,4,41,5,1898,1.885808965720439,21.0,ds_knora_eliminate
0,0.7684,10,4,41,5,1898,1.885808965720439,21.0,ds_knora_eliminate
0,0.7632,15,4,41,5,1898,1.885808965720439,21.0,ds_knora_eliminate
0,0.7684,20,4,41,5,1898,1.885808965720439,21.0,ds_knora_eliminate
0,0.7789,25,4,41,5,1898,1.885808965720439,21.0,ds_knora_eliminate
0,0.7789,30,4,41,5,1898,1.885808965720439,21.0,ds_knora_eliminate
0,0.7737,35,4,41,5,1898,1.885808965720439,21.0,ds_knora_eliminate
